pin_no,pin_name,net_name,layer,x_mil,y_mil,pad_sizex_mil,pad_sizey_mil
1,C1_1,AC_L_NTC,T,1205,-705,78.74,78.74
2,C1_1,AC_L_NTC,T,1205,-705,78.74,78.74
3,C1_2,AC_N_IN,T,1205,-305,78.74,78.74
4,C1_2,AC_N_IN,T,1205,-305,78.74,78.74
5,C2_1,AC_N_FIL,T,1650,-988.15,64.961,64.961
6,C2_1,AC_N_FIL,T,1650,-988.15,64.961,64.961
7,C2_2,PGND,T,1650,-1381.85,64.961,64.961
8,C2_2,PGND,T,1650,-1381.85,64.961,64.961
9,C3_1,5V_BUS,T,1795.001,-1976.104,62.992,62.992
10,C3_1,5V_BUS,T,1795.001,-1976.104,62.992,62.992
11,C3_2,PGND,T,1795.001,-2113.904,62.992,62.992
12,C3_2,PGND,T,1795.001,-2113.904,62.992,62.992
13,C4_1,PGND,T,1505,-1682.44,31.496,35.433
14,C4_2,5V_BUS,T,1505,-1737.56,31.496,35.433
15,C5_1,+3V3_BUS,T,523.896,-1770.001,62.992,62.992
16,C5_1,+3V3_BUS,T,523.896,-1770.001,62.992,62.992
17,C5_2,PGND,T,386.096,-1770.001,62.992,62.992
18,C5_2,PGND,T,386.096,-1770.001,62.992,62.992
19,C6_1,PGND,T,452.44,-1980,31.496,35.433
20,C6_2,+3V3_BUS,T,507.56,-1980,31.496,35.433
21,C8_1,5V_BUS,T,1784.999,-1773.896,62.992,62.992
22,C8_1,5V_BUS,T,1784.999,-1773.896,62.992,62.992
23,C8_2,PGND,T,1784.999,-1636.096,62.992,62.992
24,C8_2,PGND,T,1784.999,-1636.096,62.992,62.992
25,CN1_1,AC_L_IN,T,270,-747.0075,98.425,98.425
26,CN1_1,AC_L_IN,T,270,-747.0075,98.425,98.425
27,CN1_2,AC_N_IN,T,270,-550.1575,98.425,98.425
28,CN1_2,AC_N_IN,T,270,-550.1575,98.425,98.425
29,CN2_1,+3V3_BUS,T,961.572,-1897.205,51.181,157.48
30,CN2_2,5V_BUS,T,1060.002,-1897.205,51.181,157.48
31,CN2_3,PGND,T,1158.432,-1897.205,51.181,157.48
32,CN2_4,NET_1,T,833.622,-2172.795,74.803,157.48
33,CN2_5,NET_2,T,1286.372,-2172.795,74.803,157.48
34,D1_1,PGND,T,1190,-1403.39,78.74,78.74
35,D1_2,SW_NODE,T,1190,-1576.61,78.74,78.74
36,D2_1,5V_BUS,T,1510,-1943.386,78.74,66.929
37,D2_2,PGND,T,1510,-2116.614,78.74,66.929
38,D3_1,PGND,T,353.385,-2090,78.74,78.74
39,D3_2,+3V3_BUS,T,526.615,-2090,78.74,78.74
40,L1_1,AC_L_FIL,T,1856.85,-702.247,70.866,70.866
41,L1_1,AC_L_FIL,T,1856.85,-702.247,70.866,70.866
42,L1_2,AC_N_FIL,T,1856.85,-198.307,70.866,70.866
43,L1_2,AC_N_FIL,T,1856.85,-198.307,70.866,70.866
44,L1_3,AC_N_IN,T,1463.15,-198.307,70.866,70.866
45,L1_3,AC_N_IN,T,1463.15,-198.307,70.866,70.866
46,L1_4,AC_L_NTC,T,1463.15,-702.247,70.866,70.866
47,L1_4,AC_L_NTC,T,1463.15,-702.247,70.866,70.866
48,L2_1,+3V3_BUS,T,910,-1424.21,216.535,100.394
49,L2_2,SW_NODE,T,910,-1575.79,216.535,100.394
50,R1_1,AC_L_FUSED,T,864.8,-851.69,78.74,78.74
51,R1_1,AC_L_FUSED,T,864.8,-851.69,78.74,78.74
52,R1_2,AC_L_NTC,T,1160,-938.31,78.74,78.74
53,R1_2,AC_L_NTC,T,1160,-938.31,78.74,78.74
54,SCREW1_1,NET_3,T,3059.1138,-2155,126,126
55,SCREW1_1,NET_3,T,3059.1138,-2155,126,126
56,SCREW2_1,NET_4,T,40.3905,-2155,126,126
57,SCREW2_1,NET_4,T,40.3905,-2155,126,126
58,SCREW3_1,NET_5,T,40.3905,-45,126,126
59,SCREW3_1,NET_5,T,40.3905,-45,126,126
60,SCREW4_1,NET_6,T,3059.1138,-45,126,126
61,SCREW4_1,NET_6,T,3059.1138,-45,126,126
62,U1_1,AC_L_IN,T,447.4803,-953.7402,53.1496,53.1496
63,U1_1,AC_L_IN,T,447.4803,-953.7402,53.1496,53.1496
64,U1_2,AC_L_FUSED,T,645.1286,-953.7402,53.1496,53.1496
65,U1_2,AC_L_FUSED,T,645.1286,-953.7402,53.1496,53.1496
66,U2_1,AC_L_FIL,T,2718.55,-298.385,70.866,70.866
67,U2_1,AC_L_FIL,T,2718.55,-298.385,70.866,70.866
68,U2_2,AC_N_FIL,T,2411.46,-298.385,70.866,70.866
69,U2_2,AC_N_FIL,T,2411.46,-298.385,70.866,70.866
